sentence,date,speaker_party,speaker_name,speaker_role,speech_title,text,result,url, 
1,25-Mar-24,none,Yatin Duggal,none,"Yatin Duggal, winner of the National Youth Parliament Festival on India",today I live in a nation unfortunately ladies and gentlemen where a cigarette which can kill you is sold openly but when a girl has to buy sanitary pads she has to hide them in black polythene,TRUE,https://www.cdc.gov/tobacco/about/index.html,
2,25-Mar-24,none,Yatin Duggal,none,"Yatin Duggal, winner of the National Youth Parliament Festival on India",today I live in a nation where it's been 77 years since the white man has left this nation but we are still living in that inferiority complex using fairness scams to whiten our skin whiten our culture whiten our education whiten our standard of life in this era of globalization,TRUE,none,
3,25-Mar-24,none,Yatin Duggal,none,"Yatin Duggal, winner of the National Youth Parliament Festival on India", I can wear American shirt and a Polish pant and a German watch but my identity which is going to be decided by the education structure,TRUE,none,
4,25-Mar-24,none,Yatin Duggal,none,"Yatin Duggal, winner of the National Youth Parliament Festival on India", I've been part of has to stay Indian ladies and gentlemen,TRUE,none,
5,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,What does today's strike tell us about India's policy,NEUTRAL,https://www.mea.gov.in/media-briefings.htm?dtl/39486/Transcript_of_Special_briefing_on_OPERATION_SINDOOR_May_10_2025,
6,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,"It confirms the emergence of a doctrine, one that balances resolve, strength, fairness and restraint.",TRUE,https://www.mea.gov.in/media-briefings.htm?dtl/39486/Transcript_of_Special_briefing_on_OPERATION_SINDOOR_May_10_2025,
7,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,"India's first statement called it a focused, measured and non-escalatory response.",TRUE,https://www.mea.gov.in/media-briefings.htm?dtl/39486/Transcript_of_Special_briefing_on_OPERATION_SINDOOR_May_10_2025,
8,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,The goal is not endless escalation. The goal is deterrence.,NEUTRAL,none,
9,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,"If Pakistan carries out terror attacks, there will be a reprisal. That is the first part of India's emerging policy. Part two, the scale of the attack is expanding.",TRUE,https://www.mea.gov.in/media-briefings.htm?dtl/39486/Transcript_of_Special_briefing_on_OPERATION_SINDOOR_May_10_2025,
10,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,Balacot was bigger than Uri. Today was bigger than Balakot.,TRUE,https://www.mea.gov.in/media-briefings.htm?dtl/39486/Transcript_of_Special_briefing_on_OPERATION_SINDOOR_May_10_2025,
11,"7 May, 2025",none,Palki Sharma,journalist,What World Should Learn from India's Operation Sindoor | Vantage with Palki Sharma | N18G,"So India's decision is to keep raising the stakes. Not all at once, but step by step.",NEUTRAL,none,
